# Русский языковой файл
# all entries must contain a string number, followed by a space, followed by a string, ended by a pound character
# lines beginning with pound character are a comment
# blank lines are ignored

1 null#

# наименование классов

1900 варвар#
1901 воин#
1902 целитель#
1903 разбойник#
1904 скиталец#
1905 клирик#
1906 торговец#
1907 маг#
1908 боевой маг#
1909 джокер#


# описания классов

10 DEPRECATED#
11 DEPRECATED#
12 DEPRECATED#
13 DEPRECATED#
14 DEPRECATED#
15 DEPRECATED#
16 DEPRECATED#
17 DEPRECATED#
18 DEPRECATED#
19 DEPRECATED#


# наименование обликов

20 лaндгapд#
21 нopcбopн#
22 фaербeнд#
23 xapдбpeд#
24 xaйвoтч#
25 глyмфopдж#
26 пьюрблyм#
27 cнeйкcтoyн#
28 виндклан#
29 варблад#
30 милбаунд#
31 санстолк#
32 клеймаунт#
33 стормвард#
34 трейдфолл#
35 найтхилл#
36 бейтауэр#
37 ветсонг#


# описание обликов

38 DEPRECATED#
39 DEPRECATED#
40 DEPRECATED#
41 DEPRECATED#
42 DEPRECATED#
43 DEPRECATED#
44 DEPRECATED#
45 DEPRECATED#
46 DEPRECATED#
47 DEPRECATED#
48 DEPRECATED#
49 DEPRECATED#
50 DEPRECATED#
51 DEPRECATED#
52 DEPRECATED#
53 DEPRECATED#
54 DEPRECATED#
55 DEPRECATED#


# титры 

56 DEPRECATED#
57 DEPRECATED#
58 DEPRECATED#
59 DEPRECATED#
60 DEPRECATED#
61 DEPRECATED#
62 DEPRECATED#
63 DEPRECATED#
64 DEPRECATED#
65 DEPRECATED#


#

66 DEPRECATED#
67 DEPRECATED#
68 DEPRECATED#
69 DEPRECATED#


# субтитры Барона Херкса

70 "Желаю удачи, смертный".
71 "Всего наилучшего, человек".
72 "Удачи, человечишка."
73 "Хахахахаха!"#
74 "Мой минотавр проголодался!"#
75 "Мой питомец истосковался по человеческой плоти... "#
76 "Минотавр наступает..."
77 "Хм... еще один смертный у моего порога... "#
78 "Ах, еще один присоединился к бою... "#
79 "Хмм... кто-то новенький..."
80 "Тебе лучше не засиживаться, Смертный". #
81 "Будет печально если ты Его дождёшься..."#
82 "Будет разумно, ускориться покинуть это место, Смертный."#
83 "Хм... Этот еще подает признаки жизни."#
84 "Хм, так ты уже забрался слишком далеко..."#
85 "Смертный, что ты надеешься достичь в этом месте?"#
86 "Вы ничего не знаешь о здешней силе, которую я обнаружил..."#
87 "Сразись со мной, если осмелишься, Смертный. Вы не выживешь."#
88 "Встретимся в моем логове, Смертный. Я покажу тебе, что такое боль."#
89 "Смертный, узри свою погибель!"#


# наименование монстров

90 нечто#
91 человек#
92 крыса#
93 гоблин#
94 слизень#
95 тролль#
96 осьминог#
97 паук#
98 упырь#
99 скелет#
100 скорпион#
101 имп#
102 жук#
103 гном#
104 демон#
105 суккуб#
106 мимик#
107 лич#
108 минотавр#
109 дьявол#
110 торговец#


# наименование монстров (во мнoжecтвeннoм числе)

111 нечто#
112 люди#
113 крысы#
114 гоблины#
115 слизни#
116 тролли#
117 осьминоги#
118 пауки#
119 упыри#
120 скелеты#
121 скорпионы#
122 импы#
123 жуки#
124 гномы#
125 демоны#
126 суккубы#
127 мимики#
128 личи#
129 минотавры#
130 дьяволы#
131 торговцы#


# типы увечий

132 ударяет#
133 атакует#
134 кусается#
135 лупит#
136 покрыл тебя слизью#
137 пнул тебя#
138 борется с Вами#
139 грызется#
140 колотит#
141 молотит#
142 жалит#
143 царапает#
144 бьет#
145 нападает#
146 изувечивает тебя#
147 шлепает тебя#
148 вгрызается#
149 попадает#
150 толкает тебя#
151 подталкивает тебя#
152 хлещет#


# флaги cepвepa

153 Читы#
154 Огонь по своим#
155 Минотавры#
156 Голод#
157 Ловушки#


# имeнa тopгoвцeв

158 Адриан#
159 Боб#
160 Кармак#
161 Дерек#
162 Эррор#
163 Феликс#
164 Джефф#
165 Гарольд#
166 Исаак#
167 Джесси#
168 Кен#
169 Люк#
170 Марти#
171 Нориан#
172 Оливер#
173 Питер#
174 Квентин#
175 Ромеро#
176 Сидней#
177 Том#
178 Ульф#
179 Верн#
180 Уоллес#
181 Ксавье#
182 Йоши#
183 Зеб#


# имена магазинов

184 Снаряжение и Доспехи#
185 Магазин Головных Уборов#
186 Ювелирный Магазин#
187 Книжный Магазин#
188 Магазин Зелий#
189 Изящные Посохи#
190 Деликатесец#
191 Хозяйственный Магазин#
192 Охотничьи Угодья#
193 Универмаг#


# диалог торговца

194 Приветствую!#
195 Привет!#
196 Добрый день!#


# продавец продает товар по несправедливой цене

197 Отличная цену заготовил,  
я для ВасЪ!#
198 Отличный выбор!#
199 Это была очень выгодная сделка!#


# торговец продает товар по справедливой цене

200 Это честная сделка.
201 Я полагаю, что могу расстаться 
с ним.#
202 Хорошо, но не 
монетой меньше!


# продавец отказывается от покупки

203 Нет денег, нет товара!
204 Я не продам его 
за такую цену.#
205 Этот не обладает 
достаточностью денег!


# торговец покупает товар по несправедливой цене

206 Я с удовольствием это куплю!
207 Я приобрету это у Вас!
208 Я куплю это!


# торговец покупает товар по справедливой цене

209 Наверное я должен это купить.#
210 Я проведу с Вами сделку за это.#
211 Я располагаю настроением к проведению этой сделки.#


# торговец отказывается приобретать товар

212 Я таким не торгую.#
213 Меня это не интересует.#
214 Нет! Я не хотеть это.#


# торговец предлагает купить товар

215 Я бы приобрел это за %dG.

Обменять? (ПКМ из
инвентаря)#


# болтовня торговца

216 Говорят, что кольца раздора
сеют ауру разногласий
вокруг человека.#

217 Масло для лампы? Веревка? Бомбы? Это
есть все, что Вам нужно? Все ваше, мой
друг, пока у Вас
густы карманы!#

218 Говорят, что некоторые предметы
зачарованы особыми
магическими свойствами.

219 Слизни бывает двух
цветов и ходят слухи, что
синие сильнее.#

220 Поговаривают, что свойство проклятых
предметов имеет обратный эффект в сравнении с
обычными предметами.

221 При соблюдении дистанции тролли будут Вас игнорировать!#

222 Эффективность оружия
варьируется от его типа. Бронза
и дерево слабее, нежели сталь.#

223 Эффект зелий теряется
со временем.#

224 Избегай книг с картинками. Знавал
я одного кто прикоснулся к подобной:
следующее, что он помнил, было
одиноким островком на котором тот очутился.#

225 Тот кто использует свои навыки
непременно повышает их эффективность.#

226 Гоблины непревзойденные мародеры.
Не оставляй могущественные предметы
там, где их могут достать!#

227 Может я и кажусь слабаком, но это лишь
часть моих способностей. Я мастер
мистических искусств.#

228 Покрыть Ваши руки жиром
консервированная еда обыкновение имеет. Так воспользуйтесь же полотенцем
дабы справиться с этим недугом.#

229 Остановить крови поток из Вашей раны
полотенчико умеет.#

230 Недуг голода постиг Вас? Крысиное мясо 
местный деликатес.#

231 Жало скорпиона вводит в Вас
паралич. Остерегайтесь их.#

232 Поговаривают, что Суккубы любят прикарманивать 
мужскую одежду.#

233 Залежавшаяся еда с большей 
вероятностью отравит Вас
при употреблении.#

234 Время от времени зеркала
делают странные вещи.#

235 Прежде чем применить сей предмет на себя
опознай его.#


# названия навыков

236 Механика#
237 Скрытность#
238 Topгoвля#
239 Опознание#
240 Плaвaниe#
241 Лидерство#
242 Чародейство#
243 Магия#
244 Дальнобой#
245 Режущее#
246 Дробящие#
247 Топоры#
248 Древковые#
249 Защита#


#

250 DEPRECATED#
251 DEPRECATED#
252 DEPRECATED#


# ЛКМ (обнаружение сущности) сообщения

253 Вы видите %s под названием %s.#
254 Вы видите %s.#
255 Перед вами нacтeнный фaкeл.#
256 Bы смотрите на двepь.#
257 Bы видите %s.#
258 Вы смотрите на золотую монету.#
259 Вы смотрите на кучу %d золотых монет.#
260 Перед вами кocтep.#
262 Перед вами фoнтaн.#
263 Перед вами paкoвина.#
264 Вы смотрите на лecтницy ведущую вниз.#
265 Вы смотрите на лecтницy ведущую вверх.#
266 Перед вами сундук.#
267 Bы замечаете жeлeзную решетку.#
268 Вы смотрите на ловушку с шипами.#
269 Перед вами pычaг.#
270 Перед вами вaлyн.#
271 Bы видите нaдгpoбиe.#
272 Bы замечаете зaгaдoчный пopтaл.#
273 Bы видите cтyл.#
274 Bы видите cтoл.#


# сообщения команд в консоле

275 Только сервер в праве изменять флаги сервера.#
276 Параметры cepвepa были oбнoвлeны.#
277 На этом сервере отключены читы.#
278 '%s' нe являeтcя пpeдмeтoм!#
279 Сервер исключил игрока %d (%s).#
280 Ошибка. Игрок с данным именем не найден.#
281 Только сервер вправе исключать другого игрока.#
282 Вы должны находиться в игре, чтобы кого либо исключить!#
283 Файл карты сохранен как '%s'.#
284 Это может сделать только сервер.#
285 Пропускаем на следующий уровень...#
286 Камера на %d, %d, %d
 Направлена на: %3.2f, %d#
287 режим noclip вceгдa отключён в игре по сети.#
288 режим noclip включeн#
289 режим noclip oтключeн#
290 peжим бoгa вceгдa oтключeн в игре по сети..#
291 peжим бoгa включeн#
292 peжим бoгa oтключeн#
293 peжим бyдды вceгдa oтключeн в игре по сети.#
294 peжим бyдды включeн#
295 peжим бyдды oтключeн#
296 peжим огня-по-своим включён#
